,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,2666.25,2326.75,1763.0,1256.0,1000.0,833.0,390.0,296.0,252.5,117.75,1
2,120000.0,2,2,2,26,-1,2,0,0,0,2,3558.75,2984.75,2682.0,3272.0,3455.0,3261.0,1000.0,1000.0,1000.0,1000.0,252.5,2000.0,1
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,4000.0,0
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,5000.0,4505.0,4013.25,689.0,679.0,0
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0
7,240000.0,1,1,2,29,0,0,0,0,0,0,67091.0,64006.25,60164.75,54506.0,50190.5,49198.25,5006.0,5000.0,4505.0,4013.25,4031.5,4000.0,0
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,2984.75,2666.25,2326.75,1763.0,1256.0,1000.0,833.0,390.0,581.0,1687.0,1542.0,0
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,833.0,432.0,1000.0,1000.0,1000.0,0
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,3558.75,2984.75,2666.25,2326.75,13007.0,13912.0,1000.0,833.0,390.0,4013.25,1122.0,117.75,0
11,200000.0,2,3,2,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,833.0,390.0,300.0,3738.0,117.75,0
12,240000.0,2,1,2,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,5006.0,5000.0,4505.0,4013.25,252.5,3640.0,0
13,240000.0,2,2,2,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,5000.0,4505.0,4013.25,2870.0,117.75,0
14,70000.0,1,2,2,30,1,2,2,0,0,2,65802.0,64006.25,60164.75,54506.0,36137.0,36894.0,3200.0,833.0,3000.0,3000.0,1500.0,117.75,1
15,240000.0,1,1,2,29,0,0,0,0,0,0,67091.0,64006.25,60164.75,54506.0,50190.5,49198.25,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
16,50000.0,2,3,3,23,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,1000.0,1500.0,1100.0,1200.0,1300.0,1100.0,0
17,20000.0,1,1,2,24,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,833.0,1500.0,296.0,1650.0,117.75,1
18,240000.0,1,1,1,49,0,0,0,-1,-1,-1,67091.0,64006.25,60164.75,54506.0,5856.0,49198.25,5006.0,5000.0,4505.0,4013.25,4031.5,4000.0,0
19,240000.0,2,1,1,49,1,-2,-2,-2,-2,-2,3558.75,2984.75,2666.25,2326.75,1763.0,1256.0,1000.0,833.0,390.0,296.0,252.5,117.75,0
20,180000.0,2,1,2,29,1,-2,-2,-2,-2,-2,3558.75,2984.75,2666.25,2326.75,1763.0,1256.0,1000.0,833.0,390.0,296.0,252.5,117.75,0
21,130000.0,2,3,2,39,0,0,0,0,0,-1,38358.0,27688.0,24489.0,20616.0,11802.0,1256.0,3000.0,1537.0,1000.0,2000.0,930.0,4000.0,0
22,120000.0,2,2,1,39,-1,-1,-1,-1,-1,-1,3558.75,2984.75,2666.25,2326.75,1763.0,1256.0,1000.0,833.0,390.0,632.0,316.0,117.75,1
23,70000.0,2,2,2,26,2,0,0,2,2,2,41087.0,42445.0,45020.0,44006.0,46905.0,46012.0,2007.0,3582.0,390.0,3601.0,252.5,1820.0,1
24,240000.0,2,1,1,40,-2,-2,-2,-2,-2,-2,5512.0,19420.0,2666.25,2326.75,1763.0,1256.0,5006.0,1473.0,560.0,296.0,252.5,1128.0,1
25,90000.0,1,1,2,23,0,0,0,-1,0,0,4744.0,7070.0,2666.25,5398.0,6360.0,8292.0,5006.0,833.0,4505.0,1200.0,2045.0,2000.0,0
26,50000.0,1,3,2,23,0,0,0,0,0,0,47620.0,41810.0,36023.0,28967.0,29829.0,30046.0,1973.0,1426.0,1001.0,1432.0,1062.0,997.0,0
27,60000.0,1,1,2,27,1,-2,-1,-1,-1,-1,3558.75,2984.75,2666.25,2326.75,1763.0,1256.0,1000.0,1000.0,390.0,500.0,252.5,1000.0,1
28,50000.0,2,3,2,30,0,0,0,0,0,0,22541.0,16138.0,17163.0,17878.0,18931.0,19617.0,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0,0
29,50000.0,2,3,1,47,-1,-1,-1,-1,-1,-1,3558.75,3415.0,3416.0,2326.75,30430.0,1256.0,3415.0,3421.0,2044.0,4013.25,257.0,117.75,0
30,50000.0,1,1,2,26,0,0,0,0,0,0,15329.0,16575.0,17496.0,17907.0,18375.0,11400.0,1500.0,1500.0,1000.0,1000.0,1600.0,117.75,0
